Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovo,distNovo,errNovo,errOwn
1,9.895958771,150,22.48443435,12.58847558,128,19.18671731,9.290758541,78.28571429,150,8,-85,19.20000076,119,17.83765125,7.94169248,9.304041989
1,7.919318152,119,17.83765125,9.918333099,94,14.09024553,6.170927374,13.125,119.375,8,-72.75,14.17000008,109,16.33868896,8.419370809,6.250681928
1,2.520495983,42,6.295641618,3.775145635,27,4.047198183,1.5267022,3.267857143,42.125,8,-74,4.159999847,27,4.047198183,1.5267022,1.639503864
1,2.52667766,86,12.89107569,10.36439803,65,9.743254885,7.216577225,18.9047619,86.71428571,7,-76,9.880000114,82,12.29149078,9.764813118,7.353322454
1,2.520495983,35,5.246368015,2.725872032,21,3.147820809,0.627324826,4.696428571,35.875,8,-74.375,3.25,27,4.047198183,1.5267022,0.729504017
1,2.52667766,88,13.19086815,10.66419049,67,10.04304734,7.516369683,9.071428571,88.75,8,-76.125,10.14000034,82,12.29149078,9.764813118,7.61332268
1,9.895958771,136,20.38588714,10.48992837,118,17.68775502,7.791796251,116.3,136.5,6,-85.5,17.79999924,119,17.83765125,7.94169248,7.904040469
1,7.919318152,117,17.53785879,9.618540641,92,13.79045307,5.871134916,2.785714286,117.75,8,-73,13.90999985,109,16.33868896,8.419370809,5.990681698
1,2.520495983,39,5.845952931,3.325456948,25,3.747405725,1.226909742,7.619047619,39.42857143,7,-74,3.769999981,27,4.047198183,1.5267022,1.249503998
1,2.52667766,84,12.59128324,10.06460558,64,9.593358656,7.066680996,11.2,85,6,-76,9.619999886,82,12.29149078,9.764813118,7.093322226
1,9.895958771,140,20.98547206,11.08951329,121,18.13744371,8.241484938,119.4761905,140.8571429,7,-85.14285714,18.20000076,119,17.83765125,7.94169248,8.304041989
1,7.919318152,114,17.08817011,9.168851954,90,13.49066061,5.571342458,1.142857143,115,8,-73,13.52000046,109,16.33868896,8.419370809,5.600682308
1,2.520495983,38,5.696056702,3.175560719,24,3.597509496,1.077013513,5.642857143,38.75,8,-74,3.640000105,27,4.047198183,1.5267022,1.119504122
1,2.52667766,94,14.09024553,11.56356787,72,10.79252849,8.265850828,6.166666667,94.83333333,6,-76,10.92000008,82,12.29149078,9.764813118,8.39332242
